metric,metric_column,effect,control,treatment,evaluation_size,control_score,treatment_score,absolute_delta,relative_error_reduction,improved,regressed,net_improvement,paired_bootstrap_95_ci_low,paired_bootstrap_95_ci_high,mcnemar_exact_p_value
EX@1,ex_at_1,targeted_sft_vs_base_with_evidence,baseline_with_evidence,targeted_sft_with_evidence,500,0.504,0.44,-0.064,-0.12903225806451613,27,59,-32,-0.1,-0.028,0.0007317100653124087
EX@1,ex_at_1,targeted_vs_original_with_evidence,sft_with_evidence,targeted_sft_with_evidence,500,0.476,0.44,-0.036,-0.06870229007633587,7,25,-18,-0.058,-0.014,0.0021024015732109547
Oracle@3,oracle_at_3,targeted_sft_vs_base_with_evidence,baseline_with_evidence,targeted_sft_with_evidence,500,0.558,0.554,-0.004,-0.00904977375565611,37,39,-2,-0.038,0.03,0.9087769252754927
Oracle@3,oracle_at_3,targeted_vs_original_with_evidence,sft_with_evidence,targeted_sft_with_evidence,500,0.562,0.554,-0.008,-0.018264840182648404,15,19,-4,-0.03,0.014,0.6075913612730801
Oracle@5,oracle_at_5,targeted_sft_vs_base_with_evidence,baseline_with_evidence,targeted_sft_with_evidence,500,0.608,0.596,-0.012,-0.030612244897959183,31,37,-6,-0.044,0.02,0.5446122234192592
Oracle@5,oracle_at_5,targeted_vs_original_with_evidence,sft_with_evidence,targeted_sft_with_evidence,500,0.6,0.596,-0.004,-0.01,13,15,-2,-0.026,0.016,0.8505540192127228
